,precision,recall,f1-score,support
0,0.9545454545454546,0.9662576687116564,0.9603658536585366,326.0
1,1.0,1.0,1.0,6.0
2,0.5714285714285714,1.0,0.7272727272727273,4.0
3,0.9921259842519685,0.9,0.9438202247191011,140.0
4,0.8,0.8205128205128205,0.810126582278481,39.0
5,1.0,0.5,0.6666666666666666,4.0
6,0.8703703703703703,1.0,0.9306930693069307,47.0
accuracy,0.9399293286219081,0.9399293286219081,0.9399293286219081,0.9399293286219081
macro avg,0.8840671972280522,0.8838243556034967,0.8627064462717777,566.0
weighted avg,0.9442978404067411,0.9399293286219081,0.9401543609459385,566.0
